Year,Original Order,Start Date & Time,Title,End Date & Time,Prize,Also Runs,Game ID,Group,Short Description,Long Description,Event Type,Game System,Rules Edition,Minimum Players,Maximum Players,Age Required,Experience Required,Materials Provided,Duration,GM Names,Website,Email,Tournament?,Round Number,Total Rounds,Minimum Play Time,Attendee Registration?,Cost $,Location,Room Name,Table Number,Special Category,Tickets Available,Last Modified,Rules Complexity
1970,1,8/22/1970,"""Dawn Patrol"" Fight in the Skies",7:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,2,8/22/1970,Itroductory Speeck,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,3,8/22/1970,Auction of Wargaming items,9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,4,8/22/1970,Napoleonic Miniatures,10:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,5,8/22/1970,Naval Miniatures,10:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,6,8/22/1970,Diplomacy Tournament,12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,7,8/22/1970,Naval Miniatures,2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,8,8/22/1970,Fight in the Skies,2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,9,8/23/1970,Auction of Wargaming items,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,10,8/23/1970,Napoleonic Miniatures,9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,11,8/23/1970,WWII Miniatures,9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,12,8/23/1970,Naval Miniatures,9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,13,8/23/1970,Diplomacy,12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,14,8/23/1970,Naval Miniatures,3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
