Year,Original Order,Start Date & Time,Event Type,End Date & Time,Game ID,Title,Long Description,Maximum Players,Experience Required,Total Rounds,Location,GM Names,Prize,Cost $,Group,Also Runs,Short Description,Game System,Rules Edition,Minimum Players,Age Required,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified,Rules Complexity
1980,1,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"001-Thurs. 10:00am, 002-Thurs. 4:00pm, 003-Fri. 10:00am, 004-Fri. 4:00pm, 005-Sat. 10:00am","001, 002, 003, 004, 005 ",The AD&D Open,"This three round event is the largest role-playing tournament in the world, with room for 810 players. Semi-Finals will be held on Saturday Afternoon. Finals will be held on Sunday Morning. Nine man teams of adventurers will compete for team and individual prizes, including the Order of the Master Adventurer, awarded to the Best Player of the Winning Team. Those people wishing to register as a team should submit their pre-registration forms using the same envelope. No guarantee is made that individuals will be able to compete on the same team, or that teams will be registered at the sessions desired. Please arrive at least a half hour before starting times.",810,6,3,Meeting Room is Molinaro L-105,"AD&D Open Coordinator - Robert Blake, Judge Supervisors - Dave Cook, Allen Hammack, Harold Johnson, and Lawrence Schick. Plus a cast of 40 judges",See ad on page 15 (Grenadier Models & TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,2,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"104 , 10:00am Thursday. 105 , 5:00pm Thursday. 106 , 10:00am Friday. 107 5:00pm Friday. 108 , 10:00am Saturday. 109 , 5:00pm Saturday","104, 105, 106, 107, 108, 109 ",Advanced Dungeons and Dragons Adventure,,9,6,,Greenquist L-119,"Dan Dwyer, Michelle Fortin, & Jack Martin",Gift Certificate (TSR (Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,3,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"8:00pm Friday. 128 , 8:00pm Saturday","127, 128 ",Adventuring for Effect,A D&D/AD&D adventure that will really give you the feel of the game. Darkness and candles included.,12,6,,Greenquist D-109 Greenquist D-113,Joe Fischer & Dana Klassy,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,4,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,Saturday 4:00pm,60,Alien Worlds,TSR’s soon-to-be-released Science Fiction role-playing game makes its debut.,8,3,, Molinaro D-131,Dave Cook,Gift Certificate (TSR Hobbies). ,,,,,,,,,,,,,,,,,,,,,,
1980,5,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,Thursday Noon,45,Alien Worlds Introductory Scenario,refereed by one of the game’s co-authors,8,1,,Com Arts L-133,Lawrence Schick,,0,TSR Hobbies,,,,,,,,,,,,,,,,,,,,
1980,6,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,Noon Sunday,15,Barroom Brawl,Can you accomplish your objective before one of your twelve opponents does? An AD&D event.,13,5,,Com Arts L-128,Brian Price & Steve Binder,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,7,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"211 , Noon Friday. 212 Noon Saturday","211, 212 ",Beginners’ D&D,Two Basic D&D adventures,12,2,, Greenquist D-117 ,"Donald Jacobsma, Tom Ooms & Brian Hoostraten",Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,8,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,9:00am Friday,200,Beyond the Mountains of Fire,An AD&D adventure,12,3,,Greenquist D-113,Eldon Olmstead,Prize Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,9,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,5:00pm Thursday,185,The Blade of Westfalen Cliffs, An AD&D Adventure for 8 players.,8,5,,Greenquist D-107,Steve Gray,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,10,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,5:00pm Saturday,155,Bloodthirsty’s Humor,A D&D adventure for low-level characters. Can you help Elaina the Fair rescue Brian Bonebreaker?,6,2,,Com Arts L-141,Joe Alford,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,11,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,10:00am Friday,6,Boot Hill Tournament,Teams of six search for a lost gold mine and fight for survival—and the right to advance to the second round—in this two round event.,36,5,2,"Meeting area, Com Arts L-125",Tom Moldvay & Staff,Trophy & Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,12,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Friday,39,Chivalry & Sorcery,A single session adventure run by the guys who brought you the game.,10,6,,Com Arts L-129,Edward Simbalist & Wes Ives,Gift Certificate (Fantasy Games Unlimited).,,,,,,,,,,,,,,,,,,,,,,
1980,13,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,2:00pm Thursday,57,Consort of the Queen,A sharp memory and quick thinking are in order here as play progress in this AD&D game with miniatures.,10,6,,Com Arts L-143,Len Lakofka,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,14,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,10:00am Sunday,49,The Crypt of Yenoughu,A single session game with plenty of hard-and-heavy action for pre-rolled 5th-11th level characters.,10,6,,Com Arts L-143, Len Lakofka,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,15,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,1:00pm Sunday,168,Death of a Demon,Do you think you can kill a 50 foot tall demon? It doesn’t think so! An Empire of the Petal Throne event.,8,1,,Greenquist D-127,Dave Sutherland,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,16,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,8:00am Friday,161,Death to the Kolme Babardalikoi,Can you destroy a whole empire? You can try with the “eye” of the unconquerable Army! A vast Empire of the Petal Throne adventure with hundreds of miniatures.,8,1,, Greenquist D-127 ,Dave Sutherland.,Gift Certificate (Zocchi Distributors/Gamescience).,,,,,,,,,,,,,,,,,,,,,,
1980,17,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,9:00am Saturday,132,Dungeons & Dragons Basic Tournament,A tournament for those people who have just started to play D&D using the Basic Set Rules.,36,3,,Meeting Area: Greenquist D-109,Jean Wells,Trophy (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,18,1980,ROLE-PLAYING GAMES AND TOURNAMENTS, 9:00am Saturday,201,Escape from Tyranny,A Gamma World adventure,8,3,,Greenquist D-113,Eldon Olmstead & K. Stein,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,19,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Friday (Final 3:00pm Sunday). ,29,The Fez Tournament,An AD&D tournament for thinking people.,80,,,Meeting Area Greenquist D-101,"Len Bland, Mike Gilpin, Steve Funk & Kurt Bauman",Trophy & Gift Certificate TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,20,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,10:00am Sunday,74,Gallery of the Traole,An AD&D adventure for seventh-ninth level characters.,8,4,,Com Arts L-133,Bret Shaff,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,21,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,1:00pm Sunday,225,Gamma War,A Gamma World miniatures event.,8,5,,Molinaro L-213,Jeff Weiss,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,22,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,8:00am Sunday,224,Gamma World for Beginners,,8,1,, Molinaro L-213,Jeff Weiss,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,23,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Saturday,40,Gangster!,"Bootleg whiskey, slot machines and lots of hot lead is the order of the day when this popular FGU game starts running.",12,5,, Molinaro D-133,"Nick Mari, Pete Petrone & Scott Bizar.",Gift Certificate (Fantasy Games Unlimited).,,,,,,,,,,,,,,,,,,,,,,
1980,24,1980,ROLE-PLAYING GAMES AND TOURNAMENTS, 4:00pm Thursday,12,The Hoard of the Ghibbellns,"A dungeon for high level characters loosely based on the Dunsany story of the same name. Players Can use their own 10+ level characters, subject to the DM’s approval at least one hour before the event starts, or use the characters supplied.",12,6,,Com Arts L-134,Tom Moldvay,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,25,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Sunday,156,Horseford Park,A valuable artifact has been hidden in the dungeon beneath Horseford Park. All you have to do is go get it. Game rules written by the Referee. ,6,1,,Greenquist D-103,Joe Alford,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,26,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,"158 , 10:00am Friday.a 180 10:00am Saturday","158, 180",Journey Into Prehistory,An adventure using Metamorphosis Alpha rules; players must fight for survival on a prehistoric deathworld while searching for the sole path that will lead them to their home planet.,10,3,,"Greenquist D-103

Molinaro L-236 ","Jeff Olson, Dan Alsmeyer & John McCord",Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,27,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,Thursday 10:00am,247,Just A Matter of Time,Was Prof. Amundsen murdered or was it. ..? 8 Players are needed to solve a baffling case of Elementary Watson. ,8,2,,Com Arts L-139,,Gift Certificate (The Armory).,,,,,,,,,,,,,,,,,,,,,,
1980,28,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Saturday,165,In Search of the Tomb of Gav Gan Hisvatti,What guards the tomb of this long dead magic user? An Empire of the Petal Throne event with miniatures.,8,1,,Greenquist D-127,Dave Sutherland,Gift Certificate (Zocchi Distribytors/Gamescience).,,,,,,,,,,,,,,,,,,,,,,
1980,29,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,3:00pm Saturday,44,Ice Caverns of Thamiac,"This event features a rules mix of D&D, AD&D, and material from The Dragon.",8,5,,Molinaro D-130,Harald Henning,Gift Certificate (TSR Hobbies).,,,,,,,,,,,,,,,,,,,,,,
1980,30,1980,ROLE-PLAYING GAMES AND TOURNAMENTS,Noon Saturday,248,In Search of an Unknown Past,This event uses In The Labrinth rules by Metagaming. ,8,4,,Com Arts L-139,Keith Rudesill,Gift Certificate (Metagaming),,,,,,,,,,,,,,,,,,,,,,
