Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
1,1990,COMPUTER GAMING,WAR OF THE LANCE by SSI,600004,War Of The Lance,"Muster your army, lead them into victory in this unique strategy wargame for the Fantasy RPG buff, set in the DRAGONLANCE world.",Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2",6,,,,,,,,,,,,,,,,,,,,,,,
2,1990,MINIATURE GAMING,ADEPTUS TITANICUS by Games Workshop,300133,Breakout At Tritus,An Imperial/Eldar force tries to escape from a trap set by the traitors. This would appear to be straightforward except for the untimely arrival of the Orks.,Clifford Yahnke,1,I,2,"W221, W. Game Hall","C02, 03, C03",,,,,,,,,,,,,,,,,,,,,,,
3,1990,MINIATURE GAMING,BATTLETECH by FASA,300028,Mechwarrior VS Machine ,"So, you think you’re some hotshot Mechwarrior? Well, come test yourself against the ultimate—a 386-20mhz Mech. Eight players battle a like # on the battle field. Programming done in C, by myself",William Dufton ll,3,I,2,"W223, W. Game Hall","02, 03, 04 Semi Final: 05,06 Final: 08",,,,,,,,,,,,,,,,,,,,,,,
4,1990,MINIATURE GAMING,Raid On Harrows Hill,300053,,"Just because the fourth succession war is over doesn’t mean you can relax. For even now, the Vultures are swooping in to pick up the pieces of the shattered Successor houses.",Troy Herman,1,I,2," W217, W. Game Hall","02, 03",,,,,,,,,,,,,,,,,,,,,,,
5,1990,MINIATURE GAMING,DRUMS OF WAR ALONG THE MOHAWK,300018,French and Indian War ,"French invade a River Town. Can the Colonists hold off till relief comes? A 25mm event with French, Indian, Colonists, and British.",William Heiden,1,N,2,"W317, W. Game Hall",C02A,,,,,,,,,,,,,,,,,,,,,,,
6,1990,MINIATURE GAMING,EMPIRE IV,300101,"Walk In The Woods, I And II","I—The advance guards of French and Prussion Armies scuffle over a vital crossroad. II—After the advance guard units engage,the main body of the Armies engage.",Pat Connaughton,2,I,2,"W218, W. Game Hall", Final: 02,,,,,,,,,,,,,,,,,,,,,,,
7,1990,MINIATURE GAMING,STAR FLEET BATTLES Game by Task Force,300050,Operation Spearhead,The Klingon’s Fed. Border Fleet has been ordered to punch a hole in the Federation. In three days they are to reach and control StarBase 2211 or can the Federation Fleet stop them?,Raymond Runge Jr.,1,S,2,"W319, W. Game Hall","C02, C03, C04, 05, C06, C07, C08,
09, C10, C11, C12, 13, C14, C15",,,,,,,,,,,,,,,,,,,,,,,
8,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400415,Ambushed,"You wake up in a dank, dark hole. You have no idea where you are, or how you got here, and there’s this heavy weight on your chest, and something scaly is gnashing at your throat. Levels 5-8.",David Rouiston,3,S,2,"E112, E. Game Hall Location: E114, E. Game Hall",03 Semi Final: 05 Final: 09,,,,,,,,,,,,,,,,,,,,,,,
9,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400212,"EXP V, Terminal Velocity ","Amidst the winds of change a bird of prey flies. A beacon shines in darkness. Another pair of eyes. Myani deal was broken. Elders demand repentance. Hunt of infinity, Serve Paul’s sentence. LVL 10-15", Lee Irons—KUGAR,3,S,2,"KGB, Kilbourn","02, 03, 04 Semi Final: 05,07 Final: 09",,,,,,,,,,,,,,,,,,,,,,,
10,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400106,Bone Golems Don’t Drink,"Your distant relative dies, leaving his fortune to anyone who can win in his deadly game for In-heritance. A game for up to 40 PCs, interacting with each other & 5 DMs. ",Oblivion Movement-GM John Reineck,2,I,2,"E402, E. Game Hall Location: E404, E. Game Hall Location: E406, E. Game Hall Location: E509, E. Game Hall",05 Final: 09,,,,,,,,,,,,,,,,,,,,,,,
11,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400320,Star Quest,"It was supposed to be a happy time. A time of peace & laughter as Damon & his friends prepared for his wedding. Until the magic wand of the Elven chaos, the Star Crest, was stolen! ",Walter Felton,3,S,2,"K53, Kilbourn Location: K55, Kilbourn Location: K57, Kilbourn Location: K62, Kilbourn Location: K63, Kilbourn Location: K64, Kilbourn Semi Final: 06 Final: 08",,,,,,,,,,,,,,,,,,,,,,,,
12,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400342,Castle Dracula,"Could you face a vampire? How about a tough, old vampire? Easy you say? Then come face THE Vampire, Count Dracula, in his lair. BYOC, non-evil, levels 13-18.1st. Ed., no cov’s or barb’s.",Miriam Harris,2,S,2,"E503, E. Game Hall", 05 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
13,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400390,Below Lake Geneva  ,You are going off your shift. You have been on gaurd for 1 month under the lake. As your group gets into the water tube to go up. The room is flooded with water.,Helen Cook,1,S,2,"E606, E. Game Hall","05, 06",,,,,,,,,,,,,,,,,,,,,,,
14,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400454,Breakfast with Champions   ,An elite force is sent on a rescue mission. Wit and humor are helpful in this game of intrigue and danger. Individual and group goals. Role-playing,Kim Humphreys,1,S,2," E511, E. Game Hall",9,,,,,,,,,,,,,,,,,,,,,,,
15,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400208,Drows Live,GDRM HDLIWH TREVM GL GDRM HLMH LU GSV WFPV LU FIO BVZIH ZTL ZIV NRHHRMT ZMW HL ZIV GSV HLMH. URMW GSVM. Not a typo.,Penny Anderson,1,I,2,"E210, E. Game Hall ","04, 08",,,,,,,,,,,,,,,,,,,,,,,
16,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400122,The Gods Must be Crazy! ,The Old Classic returns after a one year rest and repair and ready to slay the unwary. Darkforce is at his best and will accept Warhammer and AD&D Game. U.1 characters. No limit on levels! TGMBC #1,Bob “Darkforce” Brinkman,1,I,2,"K45, Kilbourn","05, 09",,,,,,,,,,,,,,,,,,,,,,,
17,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400025,The Heralding of a Dark Age,"The night has always been a frightening and unknown place to man. Night has always gone away, until now. Your party has been dispatched to deal with the evil. The night always has surprises!",Steve Minnihan,1,S,2,"E211, E. Game Hall","04, 05",,,,,,,,,,,,,,,,,,,,,,,
18,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400028,"Interaction VII, No roll-player    ","Last year’s interaction tournament got one complaint, too much DM. This year we’re back to basics. No books, no dice, no DM story line, just your 8 stories blended together.",Joseph Alford,1,N,2,"E213, E. Game Hall","02, 03, 05",,,,,,,,,,,,,,,,,,,,,,,
19,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400015,The Key to Success ,"Eight characters try & inherit an old man’s estate by solving his insidious riddles. Discover his key to success to win. For the thinking player. Bring a riddle of your own, or else.",Stephen Veach,1,S,2,"E602, E. Game Hall","05, 09",,,,,,,,,,,,,,,,,,,,,,,
20,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400051,Morituri Salutamas,"A group of young adventurers sets off to save
their town from destruction. At GEN CON/ ORIGINS Game Fair, the groups failed. Can you succeed? Role-playing stressed.",Mark McClennan,1,I,2," E604, E. Game Hall ","05,10",,,,,,,,,,,,,,,,,,,,,,,
21,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400450,Mystery At The Broken Oar Inn,"A quiet evening by the hearth, not in this game! A night’s stay brings you into the middle of murder and mayhem. Who does the deed? It could be anyone, maybe even you! Do you wish to find the answer?",Janice Ours,1,S,2,"K41, Kilbourn","04, 06, 08, 11, 13",,,,,,,,,,,,,,,,,,,,,,,
22,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400113,Orcus Exterminators,Any brave souls out there wish to take on the perils of the Bloodstone Pass? Demon scum just can’t be allowed to run loose. Set in the Forgotten Realms.,Chris Schwanke,1,I,2,"E611, E. Game Hall","02, 03",,,,,,,,,,,,,,,,,,,,,,,
23,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400004,Part Time ,The Ores are throwing a party and you’re invited. Can you and your friends figure out what the Ores are up to or will you wind up the main course.,Paul Hollingsworth,1,I,2,"E506, E. Game Hall","09, 13",,,,,,,,,,,,,,,,,,,,,,,
24,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400187,Pool Of The Standing Stones ,"First the young women of the village were kidnapped during a magic show. Then the rescue forces disappear. Can you solve this mystery? For levels 5-6. BYOC, or characters will be here.",Louis Gagliano,1,I,2," E502, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
25,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400105,Rescue A Princess! Big Reward! ,That’s what the sign said! But in the Guild contract we found that the Princess is a fancy doll. A doll that was dragged to the sewer by some beast! If only Guild wasn’t sticky about failing!,William Reger,1,I,2,"E607, E. Game Hall","11,12",,,,,,,,,,,,,,,,,,,,,,,
26,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400006,Something Rotten In Gladsheim ,"Asgard campaign. Skurge, wargod, summons you to seek/destroy a vile new evil in Jotunheim. Norse heroes preferred, LVL 12-30, very skilled, mature players and roleplayers only.",Richard Hernandez,1,S,2,"E703, E. Game Hall","02, 14",,,,,,,,,,,,,,,,,,,,,,,
27,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400047,Spell Game,"Ten little necromancers, playing the Wizard’s game 1 will survive gaining wizard fame. 4th year at GenCon. 10th level mages combat in a test of spell use.",Donald Herz,1,S,2,"E115, E. Game Hall ","02, 04, 07",,,,,,,,,,,,,,,,,,,,,,,
28,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400134,A Tale of Betrayal,King Rudolph fears a plot against the Crown. Can you find who is behind it and the proof?,Carl Symondson,1,I,2,"E605, E. Game Hall","03, 05",,,,,,,,,,,,,,,,,,,,,,,
29,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400185,When It Runs Out   ,"Here you set, among refuse and debris, on the edge of a creeping darkness, dreaming of your last fortune and the pleasures it once purchased. That fool’s fortune begs to be taken and spent! ",Mark Slacin,1,S,2,"ED8, E. Game Hall ",5,,,,,,,,,,,,,,,,,,,,,,,
